yr_released,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex
2010,Black - Non-Hispanic,55 and Older,B Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,Serious Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Female
2010,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Female
2010,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,1JD,Yes,Yes,Male
2010,Black - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,55 and Older,C Felony,Violent,Sex,Parole,6JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,55 and Older,B Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,55 and Older,B Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,55 and Older,B Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
2010,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Parole,6JD,No,Yes,Male
2010,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,D Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,45-54,D Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,C Felony,Violent,Sex,Parole,6JD,No,Yes,Male
2010,American Indian or Alaska Native - Non-Hispanic,35-44,D Felony,Drug,Other Drug,Parole,3JD,No,Yes,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,White - Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,No,Male
2010,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,Asian or Pacific Islander - Hispanic,25-34,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Female
2010,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,6JD,Yes,Yes,Male
2010,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Special Sentence,8JD,No,Yes,Male
2010,White - Non-Hispanic,55 and Older,Felony - Enhanced,Violent,Sex,Parole,6JD,No,Yes,Male
2010,Black - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
2010,Black - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
2010,Black - Non-Hispanic,25-34,D Felony,Public Order,OWI,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Public Order,OWI,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Public Order,OWI,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
2010,White - Hispanic,45-54,Felony - Enhanced,Property,Forgery/Fraud,Parole,5JD,No,Yes,Male
2010,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Female
2010,White - Non-Hispanic,Under 25,C Felony,Violent,Assault,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Special Sentence,8JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,Black - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
2010,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,6JD,No,Yes,Male
2010,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,3JD,Yes,Yes,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,35-44,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,No,Male
2010,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,No,No,Female
2010,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,5JD,No,Yes,Female
2010,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Female
2010,White - Non-Hispanic,55 and Older,C Felony,Violent,Sex,Parole,7JD,No,Yes,Male
2010,Black - Non-Hispanic,25-34,Felony - Enhanced,Property,Forgery/Fraud,Parole,1JD,Yes,Yes,Female
2010,White - Hispanic,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
2010,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,Yes,No,Male
2010,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,Yes,Male
2010,American Indian or Alaska Native - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,C Felony,Violent,Sex,Special Sentence,1JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Drug Possession,Parole,5JD,No,Yes,Male
2010,Black - Non-Hispanic,Under 25,D Felony,Property,Burglary,Special Sentence,2JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,6JD,Yes,Yes,Female
2010,Black - Non-Hispanic,35-44,B Felony,Violent,Robbery,Parole,1JD,No,Yes,Male
2010,Black - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,7JD,No,Yes,Female
2010,White - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Female
2010,White - Non-Hispanic,55 and Older,B Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,55 and Older,B Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,55 and Older,B Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,No,Yes,Male
2010,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male
2010,Black - Non-Hispanic,55 and Older,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Kidnap,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Kidnap,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,4JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male
2010,White - Hispanic,25-34,D Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Other Violent,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Violent,Robbery,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male
2010,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,3JD,No,Yes,Male
2010,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,3JD,No,Yes,Male
2010,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Female
2010,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,No,Female
2010,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,No,Female
2010,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,No,Female
2010,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,No,Female
2010,White - Hispanic,45-54,C Felony,Property,Theft,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,D Felony,Property,Burglary,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Parole,1JD,No,Yes,Female
2010,Asian or Pacific Islander - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,35-44,B Felony,Other,Other Criminal,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,Felony - Enhanced,Violent,Robbery,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,8JD,Yes,Yes,Male
2010,White - Non-Hispanic,45-54,Sexual Predator Community Supervision,Violent,Sex,Parole,4JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Other,Other Criminal,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,C Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Male
2010,American Indian or Alaska Native - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,American Indian or Alaska Native - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,American Indian or Alaska Native - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,3JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,3JD,No,Yes,Male
2010,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
2010,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Female
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Female
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Female
2010,White - Non-Hispanic,55 and Older,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,2JD,Yes,Yes,Male
2010,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Female
2010,White - Hispanic,25-34,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
2010,Black - Non-Hispanic,45-54,C Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Public Order,Traffic,Parole,4JD,No,Yes,Male
2010,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,1JD,Yes,Yes,Male
2010,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male
