race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex
White - Non-Hispanic,20,D Felony,Violent,Assault,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,40,Aggravated Misdemeanor,Property,Theft,Parole,5JD,No,Yes,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Hispanic,30,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male
White - Non-Hispanic,50,D Felony,Property,Vandalism,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Vandalism,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Violent,Assault,Parole,5JD,No,Yes,Male
White - Non-Hispanic,30,D Felony,Violent,Assault,Parole,5JD,No,Yes,Male
White - Non-Hispanic,40,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,missing,Yes,No,Male
White - Hispanic,30,C Felony,Drug,Trafficking,Parole,3JD,No,Yes,Female
American Indian or Alaska Native - Non-Hispanic,30,D Felony,Violent,Assault,Parole,3JD,Yes,Yes,Male
White - Non-Hispanic,30,D Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
American Indian or Alaska Native - Non-Hispanic,30,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Female
Black - Non-Hispanic,40,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,60,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,30,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,30,D Felony,Public Order,Weapons,Parole,8JD,No,Yes,Male
Black - Non-Hispanic,20,D Felony,Property,Burglary,Discharged – End of Sentence,missing,No,No,Female
Black - Non-Hispanic,20,D Felony,Property,Burglary,Discharged – End of Sentence,missing,No,No,Female
White - Non-Hispanic,50,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Female
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
White - Non-Hispanic,60,Felony - Enhanced,Public Order,OWI,Parole,3JD,Yes,Yes,Male
Black - Non-Hispanic,30,D Felony,Property,Theft,Parole,2JD,No,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
Black - Non-Hispanic,20,D Felony,Violent,Other Violent,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,20,D Felony,Violent,Other Violent,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,50,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,50,D Felony,Public Order,OWI,Parole,5JD,No,Yes,Male
White - Non-Hispanic,50,D Felony,Public Order,OWI,Parole,5JD,No,Yes,Male
White - Non-Hispanic,50,D Felony,Public Order,OWI,Parole,5JD,No,Yes,Male
Black - Non-Hispanic,40,Aggravated Misdemeanor,Public Order,Traffic,Parole,2JD,No,Yes,Male
White - Non-Hispanic,60,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
White - Non-Hispanic,40,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,Yes,No,Male
Black - Non-Hispanic,40,B Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,Felony - Enhanced,Property,Theft,Parole,5JD,No,Yes,Male
White - Non-Hispanic,50,Felony - Enhanced,Property,Theft,Parole,5JD,No,Yes,Male
White - Non-Hispanic,20,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Female
White - Non-Hispanic,20,D Felony,Drug,Trafficking,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,20,D Felony,Property,Burglary,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,50,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,Yes,No,Male
White - Hispanic,50,D Felony,Public Order,OWI,Parole,8JD,No,Yes,Male
Black - Non-Hispanic,50,Felony - Enhanced,Drug,Trafficking,Parole,6JD,Yes,Yes,Male
Black - Non-Hispanic,50,Felony - Enhanced,Property,Forgery/Fraud,Parole,8JD,No,Yes,Male
White - Hispanic,30,D Felony,Public Order,Traffic,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,50,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
Black - Non-Hispanic,50,D Felony,Property,Forgery/Fraud,Parole,4JD,No,Yes,Male
White - Hispanic,50,D Felony,Violent,Murder/Manslaughter,Parole,3JD,No,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,5JD,Yes,Yes,Female
White - Non-Hispanic,40,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,Yes,No,Male
Black - Non-Hispanic,40,C Felony,Property,Theft,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Hispanic,50,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Hispanic,50,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Hispanic,50,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Hispanic,50,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,B Felony,Violent,Sex,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,Aggravated Misdemeanor,Public Order,Traffic,Parole,7JD,No,Yes,Female
White - Non-Hispanic,30,Felony - Enhanced,Violent,Assault,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,40,Felony - Enhanced,Violent,Assault,Parole,2JD,Yes,Yes,Male
Asian or Pacific Islander - Non-Hispanic,40,B Felony,Drug,Trafficking,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,20,D Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
Black - Non-Hispanic,50,C Felony,Violent,Assault,Parole,1JD,No,Yes,Male
White - Non-Hispanic,40,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,20,D Felony,Public Order,Traffic,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,D Felony,Public Order,Traffic,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,D Felony,Public Order,Traffic,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,40,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Violent,Sex,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,60,Aggravated Misdemeanor,Other,Special Sentence Revocation,Special Sentence,5JD,Yes,Yes,Male
Black - Non-Hispanic,20,D Felony,Drug,Other Drug,Parole,7JD,No,Yes,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Theft,Parole,1JD,Yes,Yes,Female
Black - Non-Hispanic,50,D Felony,Property,Theft,Parole,7JD,No,Yes,Male
White - Non-Hispanic,30,D Felony,Violent,Assault,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,50,D Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
White - Non-Hispanic,40,D Felony,Drug,Other Drug,Parole,7JD,No,Yes,Male
White - Non-Hispanic,60,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,60,D Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,D Felony,Property,Burglary,Discharged – End of Sentence,missing,Yes,No,Male
Asian or Pacific Islander - Non-Hispanic,30,C Felony,Property,Theft,Discharged – End of Sentence,missing,No,No,Female
Black - Non-Hispanic,40,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,30,B Felony,Drug,Trafficking,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,40,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,30,Aggravated Misdemeanor,Public Order,Traffic,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,40,B Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,60,D Felony,Violent,Other Violent,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,Felony - Enhanced,Property,Theft,Parole,1JD,No,Yes,Male
White - Non-Hispanic,50,Felony - Enhanced,Property,Theft,Parole,1JD,No,Yes,Male
White - Non-Hispanic,50,Felony - Enhanced,Property,Theft,Parole,1JD,No,Yes,Male
White - Non-Hispanic,40,D Felony,Public Order,Flight/Escape,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Drug,Drug Possession,Parole,1JD,Yes,Yes,Male
Black - Non-Hispanic,50,Felony - Enhanced,Drug,Trafficking,Parole,4JD,No,Yes,Male
American Indian or Alaska Native - Non-Hispanic,20,Aggravated Misdemeanor,Property,Theft,Special Sentence,6JD,Yes,Yes,Male
White - Non-Hispanic,30,D Felony,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,1JD,No,Yes,Female
White - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,1JD,No,Yes,Female
White - Non-Hispanic,40,D Felony,Property,Burglary,Parole,7JD,Yes,Yes,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,40,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,30,Aggravated Misdemeanor,Public Order,Traffic,Parole,5JD,No,Yes,Male
White - Non-Hispanic,30,C Felony,Property,Burglary,Parole,7JD,No,Yes,Male
White - Non-Hispanic,30,B Felony,Drug,Trafficking,Parole,7JD,No,Yes,Female
White - Hispanic,50,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male
White - Non-Hispanic,60,D Felony,Public Order,OWI,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,50,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,50,D Felony,Property,Forgery/Fraud,Parole,2JD,No,Yes,Female
White - Non-Hispanic,50,D Felony,Property,Forgery/Fraud,Parole,2JD,No,Yes,Female
Black - Non-Hispanic,40,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,missing,No,No,Female
Black - Non-Hispanic,20,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,50,C Felony,Violent,Murder/Manslaughter,Parole,1JD,No,Yes,Female
Black - Non-Hispanic,20,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,20,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
American Indian or Alaska Native - Hispanic,30,D Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male
White - Non-Hispanic,20,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,50,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Female
American Indian or Alaska Native - Hispanic,50,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Violent,Assault,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,40,Aggravated Misdemeanor,Property,Theft,Parole,4JD,Yes,Yes,Male
White - Non-Hispanic,40,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,Yes,Female
American Indian or Alaska Native - Non-Hispanic,50,Felony - Enhanced,Property,Forgery/Fraud,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,20,D Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male
Black - Non-Hispanic,20,Aggravated Misdemeanor,Violent,Assault,Parole,8JD,No,Yes,Male
White - Non-Hispanic,40,Aggravated Misdemeanor,Violent,Assault,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,40,Felony - Enhanced,Drug,Other Drug,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,30,D Felony,Drug,Trafficking,Discharged – End of Sentence,missing,Yes,No,Male
Black - Non-Hispanic,50,D Felony,Violent,Sex,Special Sentence,8JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Female
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,Felony - Enhanced,Public Order,OWI,Parole,6JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Female
Black - Non-Hispanic,30,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Yes,Male
White - Non-Hispanic,50,B Felony,Drug,Trafficking,Parole,8JD,Yes,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,40,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,30,C Felony,Property,Theft,Parole,6JD,Yes,Yes,Male
White - Hispanic,50,D Felony,Violent,Assault,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,40,B Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
Black - Non-Hispanic,30,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Property,Vandalism,Parole,1JD,No,Yes,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Violent,Murder/Manslaughter,Parole,2JD,No,Yes,Male
White - Non-Hispanic,30,D Felony,Public Order,Weapons,Parole,5JD,No,Yes,Male
White - Non-Hispanic,30,D Felony,Public Order,Weapons,Parole,5JD,No,Yes,Male
White - Hispanic,30,Aggravated Misdemeanor,Drug,Other Drug,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,50,D Felony,Violent,Kidnap,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
White - Hispanic,40,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Public Order,OWI,Parole,7JD,No,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
American Indian or Alaska Native - Non-Hispanic,40,D Felony,Property,Burglary,Parole,3JD,No,Yes,Male
White - Non-Hispanic,50,Aggravated Misdemeanor,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,50,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Parole,3JD,Yes,Yes,Male
White - Non-Hispanic,40,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Female
Black - Non-Hispanic,50,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,50,Felony - Enhanced,Property,Theft,Parole,1JD,No,Yes,Male
Black - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
White - Non-Hispanic,40,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,30,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,missing,Yes,No,Male
White - Hispanic,40,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
Black - Non-Hispanic,50,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Female
White - Non-Hispanic,50,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Property,Theft,Parole,6JD,Yes,Yes,Female
White - Hispanic,50,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,missing,Yes,No,Female
White - Non-Hispanic,50,Felony - Enhanced,Property,Theft,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,30,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male
White - Non-Hispanic,30,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male
White - Non-Hispanic,30,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male
White - Non-Hispanic,30,D Felony,Property,Theft,Parole,2JD,Yes,Yes,Male
White - Non-Hispanic,40,Aggravated Misdemeanor,Violent,Sex,Special Sentence,7JD,Yes,Yes,Male
Black - Non-Hispanic,30,D Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male
Black - Non-Hispanic,20,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male
Black - Non-Hispanic,20,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male
Black - Non-Hispanic,20,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,missing,Yes,No,Male
Black - Non-Hispanic,30,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,30,C Felony,Violent,Robbery,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,50,D Felony,Drug,Other Drug,Parole,4JD,No,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,20,C Felony,Other,Other Violent,Parole,2JD,No,Yes,Male
Black - Non-Hispanic,30,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Male
Black - Non-Hispanic,20,C Felony,Other,Other Violent,Parole,5JD,No,Yes,Female
Black - Non-Hispanic,20,C Felony,Other,Other Violent,Parole,5JD,No,Yes,Female
White - Non-Hispanic,40,C Felony,Violent,Assault,Discharged – End of Sentence,missing,No,No,Female
Black - Non-Hispanic,50,Felony - Enhanced,Drug,Trafficking,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,40,D Felony,Drug,Drug Possession,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Female
White - Non-Hispanic,30,C Felony,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,C Felony,Property,Burglary,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Property,Theft,Parole,7JD,Yes,Yes,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,missing,Yes,No,Male
Black - Non-Hispanic,30,C Felony,Property,Burglary,Parole,8JD,No,Yes,Male
Black - Non-Hispanic,40,D Felony,Public Order,Flight/Escape,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,C Felony,Drug,Trafficking,Parole,2JD,No,Yes,Female
White - Non-Hispanic,50,D Felony,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Hispanic,40,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
Black - Non-Hispanic,40,D Felony,Property,Burglary,Parole,7JD,No,Yes,Male
White - Non-Hispanic,40,D Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Property,Arson,Parole,6JD,Yes,Yes,Male
Asian or Pacific Islander - Non-Hispanic,30,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,60,D Felony,Public Order,Traffic,Discharged – End of Sentence,missing,No,No,Male
White - Hispanic,30,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,30,D Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,20,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,missing,Yes,No,Male
Black - Non-Hispanic,20,Aggravated Misdemeanor,Property,Theft,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,30,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,50,C Felony,Drug,Trafficking,Parole,5JD,No,Yes,Female
White - Non-Hispanic,20,D Felony,Property,Burglary,Discharged – End of Sentence,missing,Yes,No,Male
White - Hispanic,50,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Female
White - Hispanic,30,D Felony,Public Order,OWI,Parole,5JD,No,Yes,Male
White - Non-Hispanic,50,B Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,Aggravated Misdemeanor,Property,Burglary,Parole,5JD,No,Yes,Male
Black - Non-Hispanic,40,B Felony,Violent,Other Violent,Parole,3JD,Yes,Yes,Male
American Indian or Alaska Native - Non-Hispanic,20,D Felony,Property,Theft,Parole,3JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,40,D Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,40,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male
White - Non-Hispanic,40,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male
White - Non-Hispanic,40,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male
Black - Non-Hispanic,30,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,30,C Felony,Property,Theft,Parole,2JD,No,Yes,Male
Black - Non-Hispanic,30,C Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male
White - Hispanic,30,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male
White - Non-Hispanic,40,D Felony,Property,Burglary,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Violent,Robbery,Parole,7JD,No,Yes,Male
White - Non-Hispanic,30,C Felony,Violent,Robbery,Parole,7JD,No,Yes,Male
